Author ID,EID,Full Name,Surname,Given Name,Affiliation Name,Affiliation ID,Citation Count,Cited By Count,H-Index,Document Count,Subject Areas,Coauthor Count,Publication Start Year,Publication End Year
57221198397,9-s2.0-57221198397,Troll E.,Troll,Eve Sarah,"Universität Siegen, Department of Psychology",117566471,72,72,2,5,,7,2021,2024
57197747007,9-s2.0-57197747007,Frankenbach J.,Frankenbach,Julius,"Universität des Saarlandes, Department of Psychology",113455473,475,459,5,6,,11,2017,2023
12143724600,9-s2.0-12143724600,Friese M.,Friese,Malte,"Universität des Saarlandes, Department of Psychology",113455473,5784,4407,36,108,,657,2003,2024
36608662400,9-s2.0-36608662400,Loschelder D.,Loschelder,David D.,Leuphana Universität Lüneburg,60072202,1379,1097,19,54,,515,2010,2024
57223086515,9-s2.0-57223086515,Schanbacher A.,Schanbacher,Anja D.,"Drury University, Breech School of Business Administration",104251658,6,6,1,2,,3,2021,2023
8859057500,9-s2.0-8859057500,Faro D.,Faro,David,London Business School,60010057,405,375,9,16,,15,2005,2023
7006037840,9-s2.0-7006037840,Botti S.,Botti,Simona,London Business School,60010057,1932,1655,13,20,,37,2004,2023
56389657300,9-s2.0-56389657300,Garcia-Rada X.,Garcia-Rada,Ximena,Mays Business School,60138449,137,124,7,16,,23,2012,2024
35410157200,9-s2.0-35410157200,Norton M.,Norton,Michael I.,Harvard Business School,60019666,15733,13148,61,187,,252,1997,2024
56213416600,9-s2.0-56213416600,Ratner R.,Ratner,Rebecca K.,Robert H. Smith School of Business,60097292,2555,2213,21,28,,42,1996,2023
57204652898,9-s2.0-57204652898,Camilleri E.,Camilleri,Edwin,"The University of Newcastle, Australia",60010571,22,22,2,4,,3,2017,2023
8525891500,9-s2.0-8525891500,Garg N.,Garg,Nitika,UNSW Business School,60190890,856,768,13,22,,40,2005,2023
24178573200,9-s2.0-24178573200,Jahan Miah S.,Jahan Miah,Shah Jahan,Newcastle Business School,60180326,1854,1517,22,154,,129,2006,2024
55522622500,9-s2.0-55522622500,DeMotta Y.,DeMotta,Yoshiko,Fairleigh Dickinson University,60028728,140,139,5,7,,7,2013,2023
55550239000,9-s2.0-55550239000,Janssen C.,Janssen,Catherine,Solvay Brussels School of Economics and Management,60211750,408,376,6,10,,13,2014,2023
7403696644,9-s2.0-7403696644,Sen S.,Sen,Sankar,Baruch College,60030528,15426,10900,32,61,,67,1996,2024
55863186600,9-s2.0-55863186600,Lee H.,Lee,Hyunjung Crystal,The University of Texas at Austin,60013372,267,240,5,6,,16,2013,2024
6603049704,9-s2.0-6603049704,Broniarczyk S.,Broniarczyk,Susan M.,McCombs School of Business,60116471,2070,1827,23,30,,42,1994,2024
57841519400,9-s2.0-57841519400,Zheng J.,Zheng,Jianqing,McCombs School of Business,60116471,7,7,1,2,,3,2023,2024
7402808087,9-s2.0-7402808087,White K.,White,Katherine,The University of British Columbia,60010365,5588,4577,32,62,,497,2004,2024
59233125100,9-s2.0-59233125100,Wang W.,Wang,William,The University of British Columbia,60010365,0,0,0,1,,2,2024,2024
7003721660,9-s2.0-7003721660,Aquino K.,Aquino,Karl F.,UBC Sauder School of Business,60019169,14292,9757,56,109,,182,1992,2024
57217003727,9-s2.0-57217003727,Bentley K.,Bentley,Kara,"Chapman University, Argyros School of Business and Economics",103853537,71,71,4,5,,9,2020,2024
13004193800,9-s2.0-13004193800,Rajagopal P.,Rajagopal,Priyali,University of North Texas,60024438,400,397,9,16,,26,2006,2024
56102577500,9-s2.0-56102577500,Kulow K.,Kulow,Katina,"University of Louisville, College of Business",113545205,112,110,6,11,,11,2014,2024
25923482000,9-s2.0-25923482000,Shteynberg G.,Shteynberg,Garriy,"The University of Tennessee, Knoxville, Department of Psychology",103804413,1348,990,17,31,,73,2009,2024
57246269700,9-s2.0-57246269700,Liu J.,Liu,Jingshi,"Bayes Business School, City University of London, Faculty of Management",104021669,17,17,2,4,,7,2021,2024
57207107554,9-s2.0-57207107554,Wakeman S.,Wakeman,S. Wiley,Handelshögskolan i Stockholm,60021562,42,42,3,4,,7,2019,2024
23391522800,9-s2.0-23391522800,Zemack-Rugar Y.,Zemack-Rugar,Yael,University of Central Florida,60022144,320,306,6,10,,10,2007,2024
59218989700,9-s2.0-59218989700,Boman L.,Boman,Laura,Kennesaw State,128244526,0,0,0,1,,2,2024,2024
57213929153,9-s2.0-57213929153,Kramer T.,Kramer,Thomas,"University of California, Riverside",60029526,1528,1379,19,40,,44,2004,2024
59175644900,9-s2.0-59175644900,Mishra N.,Mishra,Nirajana,D'Amore-McKim School of Business,60116407,0,0,0,1,,2,2024,2024
55090196000,9-s2.0-55090196000,Garbinsky E.,Garbinsky,Emily N.,Cornell University,60007776,971,950,9,14,,17,2012,2024
34873522600,9-s2.0-34873522600,Shu S.,Shu,Suzanne B.,Dyson School of Applied Economics and Management,113710810,2443,2097,19,45,,115,2007,2024
59150556000,9-s2.0-59150556000,Yang L.,Yang,Linyun W.,Darla Moore School of Business,60028089,0,0,0,1,,1,2024,2024
36740203200,9-s2.0-36740203200,Aggarwal P.,Aggarwal,Pankaj,"University of Toronto, Department of Management",113662742,2591,2023,14,24,,18,2004,2024
57224354798,9-s2.0-57224354798,Fulmer A.,Fulmer,Alexander Goldklank,Cornell University,60007776,7,7,2,6,,3,2021,2024
49461699800,9-s2.0-49461699800,Reich T.,Reich,Taly,Yale School of Management,60001308,470,440,11,22,,25,2011,2024
57215496437,9-s2.0-57215496437,Schumacher A.,Schumacher,Anika,"Grenoble Ecole de Management, Department of Marketing",100288567,4,4,1,5,,5,2020,2024
22833937700,9-s2.0-22833937700,Goukens C.,Goukens,Caroline,Universiteit Maastricht,60018869,396,375,9,17,,172,2007,2024
25641385900,9-s2.0-25641385900,Geyskens K.,Geyskens,Kelly,Universiteit Maastricht,60018869,442,402,8,18,,178,2007,2024
35316422500,9-s2.0-35316422500,Nielsen J.,Nielsen,Jesper H.,"Eller College of Management, Department of Marketing",123881368,365,355,8,11,,28,2009,2024
57189006671,9-s2.0-57189006671,Hock S.,Hock,Stefan J.,University of Connecticut,60022659,206,196,7,11,,10,2016,2024
54797407000,9-s2.0-54797407000,Ferguson K.,Ferguson,Kristen A.,University of Notre Dame,60021508,78,78,6,12,,11,2010,2024
35769257200,9-s2.0-35769257200,Herd K.,Herd,Kelly B.,University of Connecticut,60022659,338,304,6,13,,17,2009,2024
55248431400,9-s2.0-55248431400,Yang H.,Yang,Haiyang,Johns Hopkins Carey Business School,60122540,415,405,6,18,,17,2015,2024
7005243852,9-s2.0-7005243852,Chakravarti D.,Chakravarti,Dipankar,"Virginia Tech, Pamplin College of Business",60019299,778,753,12,19,,35,1979,2024
12797707900,9-s2.0-12797707900,Ostinelli M.,Ostinelli,Massimiliano,"Florida Atlantic University, Department of Marketing",103909142,86,84,5,7,,6,2014,2024
26030280400,9-s2.0-26030280400,Bonezzi A.,Bonezzi,Andrea,Leonard N. Stern School of Business,60108316,1652,1544,12,17,,17,2009,2024
24559577300,9-s2.0-24559577300,Lisjak M.,Lisjak,Monika,W. P. Carey School of Business,60116379,326,311,9,13,,17,2008,2024
57216749593,9-s2.0-57216749593,Goor D.,Goor,Dafna,London Business School,60010057,120,108,4,5,,7,2020,2024
24481305000,9-s2.0-24481305000,Keinan A.,Keinan,Anat,Questrom School of Business,60116524,1847,1579,15,26,,16,2006,2024
35280613700,9-s2.0-35280613700,Ordabayeva N.,Ordabayeva,Nailya,Tuck School of Business at Dartmouth,60017072,1102,884,15,31,,55,2009,2024
56027679400,9-s2.0-56027679400,Angulo A.,Angulo,Ashley N.,University of Oregon,60012317,55,55,1,3,,4,2014,2024
8121553700,9-s2.0-8121553700,Goldstein N.,Goldstein,Noah J.,David Geffen School of Medicine at UCLA,60005247,12619,9969,29,61,,184,2002,2024
57195979757,9-s2.0-57195979757,Wu F.,Wu,Freeman,"Owen Graduate School of Management, Department of Marketing",122399136,104,103,3,5,,10,2017,2024
25825671600,9-s2.0-25825671600,Samper A.,Samper,Adriana,"W. P. Carey School of Business, Department of Marketing",122386485,509,499,9,15,,33,2008,2024
13404933900,9-s2.0-13404933900,Morales A.,Morales,Andrea C.,W. P. Carey School of Business,60116379,2985,2448,22,44,,48,2005,2024
7004227394,9-s2.0-7004227394,Fitzsimons G.,Fitzsimons,Gavan J.,Duke University,60008724,7429,6294,45,99,,260,1994,2024
58866889000,9-s2.0-58866889000,Kim H.,Kim,Hye-young,London School of Economics and Political Science,60003059,0,0,0,1,,1,2024,2024
12766084100,9-s2.0-12766084100,Urminsky O.,Urminsky,Oleg,The University of Chicago Booth School of Business,60112748,1238,1069,13,40,,37,2006,2024
58828149200,9-s2.0-58828149200,Li Y.,Li,Yuanyuan,"Southern University of Science and Technology, School of Business",121408623,0,0,0,1,,2,2024,2024
6603785159,9-s2.0-6603785159,Janiszewski C.,Janiszewski,Chris A.,Warrington College of Business,60122769,6013,5556,37,76,,139,1988,2024
57200416861,9-s2.0-57200416861,Liu Y.,Liu,Yuanyuan,"Xi'an Jiaotong University, School of Management",109696475,317,306,8,18,,34,2015,2024
57347530800,9-s2.0-57347530800,Gupta T.,Gupta,Tanvi,Indian Institute of Management Udaipur,60107377,40,39,2,5,,9,2018,2024
57221867221,9-s2.0-57221867221,Chen S.,Chen,Shirley (Shuo),Wilfrid Laurier University,60000521,22,22,1,4,,6,2021,2024
58355199800,9-s2.0-58355199800,Mohanty S.,Mohanty,Smaraki,Elon University,60018610,24,24,1,4,,8,2022,2024
7004165644,9-s2.0-7004165644,Wooten D.,Wooten,David B.,"University of Michigan, Ann Arbor",60025778,832,791,12,22,,34,1995,2024
12143101900,9-s2.0-12143101900,Bagchi R.,Bagchi,Rajesh,"Virginia Tech, Pamplin College of Business, Department of Marketing",121221388,1054,930,17,36,,63,2000,2024
7801324596,9-s2.0-7801324596,Labroo A.,Labroo,Aparna A.,Northwestern University,60007363,2485,2009,20,39,,84,2004,2024
58797642600,9-s2.0-58797642600,Lee J.,Lee,Jaewoo,Questrom School of Business,60116524,0,0,0,1,,1,2024,2024
26655135000,9-s2.0-26655135000,Trudel R.,Trudel,Remi,Questrom School of Business,60116524,1009,909,16,24,,46,2009,2024
57209802670,9-s2.0-57209802670,Cannon C.,Cannon,Christopher,University of Hawaiʻi at Mānoa,60013791,248,233,6,10,,4,2019,2024
36682220100,9-s2.0-36682220100,Goldsmith K.,Goldsmith,Kelly,Vanderbilt University,60003915,1251,993,16,34,,39,2008,2024
57189574259,9-s2.0-57189574259,Roux C.,Roux,Caroline,Concordia University,118412279,693,534,7,13,,26,2015,2024
57203153874,9-s2.0-57203153874,Kim T.,Kim,Tami,Darden School of Business,60116392,205,198,6,16,,20,2017,2024
55571655500,9-s2.0-55571655500,Liu P.,Liu,Peggy J.,University of Pittsburgh,60015543,1327,1108,18,48,,88,2012,2024
8418495200,9-s2.0-8418495200,Saini R.,Saini,Ritesh,"College of Business, Department of Marketing",123929087,386,361,10,17,,22,2005,2024
58795007400,9-s2.0-58795007400,Wang D.,Wang,Dian,The University of Texas at San Antonio,60003212,0,0,0,1,,2,2024,2024
57946662700,9-s2.0-57946662700,Chen H.,Chen,Haipeng,"Henry B. Tippie College of Business, Department of Marketing",118282143,0,0,0,3,,7,2024,2024
7402097686,9-s2.0-7402097686,Hutchinson J.,Hutchinson,J. Wesley,Wharton School of the University of Pennsylvania,60022452,2455,2347,18,32,,42,1982,2024
30767741700,9-s2.0-30767741700,Reimann M.,Reimann,Martin,Tecnológico de Monterrey,60007966,2157,1969,19,53,,69,2007,2024
15729469700,9-s2.0-15729469700,Knutson B.,Knutson,Brian D.,Stanford University,60012708,26029,16689,72,148,,413,1991,2024
7401786799,9-s2.0-7401786799,Huber J.,Huber,Joel C.,Fuqua School of Business,60116608,4378,4029,35,73,,161,1982,2023
25721868100,9-s2.0-25721868100,Clithero J.,Clithero,John A.,Lundquist College of Business,60122549,1729,1552,19,27,,44,2005,2024
7003317994,9-s2.0-7003317994,Karmarkar U.,Karmarkar,Uma R.,School of Global Policy and Strategy,60121512,1981,1770,18,35,,66,1999,2024
36761348200,9-s2.0-36761348200,Nave G.,Nave,Gideon,Wharton School of the University of Pennsylvania,60022452,3359,2885,24,50,,369,2010,2024
21739955000,9-s2.0-21739955000,Plaßmann H.,Plaßmann,Hilke,"INSEAD, Europe",60004888,4409,3178,22,41,,103,2005,2024
57221460921,9-s2.0-57221460921,Lteif L.,Lteif,Lama,"The University of New Mexico, Anderson School of Management",104677486,36,33,4,9,,20,2021,2024
57203286534,9-s2.0-57203286534,Nardini G.,Nardini,Gia,College of Business,60123156,138,127,6,14,,31,2018,2024
57126186300,9-s2.0-57126186300,Rank-Christman T.,Rank-Christman,Tracy,"University of Wisconsin-Milwaukee, Lubar College of Business",129500615,148,130,7,11,,31,2016,2024
7101994658,9-s2.0-7101994658,Block L.,Block,Lauren Goldberg,"Baruch College, Department of Marketing and International Business",104544841,2838,2513,26,52,,73,1995,2024
36187753100,9-s2.0-36187753100,Bublitz M.,Bublitz,Melissa G.,"University of Wisconsin-Madison, School of Human Ecology",104634388,620,537,12,24,,64,2010,2024
26029725900,9-s2.0-26029725900,Catlin J.,Catlin,Jesse R.,"California State University, Sacramento",60013649,803,784,11,18,,55,2009,2024
55650959900,9-s2.0-55650959900,Cross S.,Cross,Samantha N.N.,Debbie and Jerry Ivy College of Business,60116591,508,437,13,30,,61,2013,2024
36460964300,9-s2.0-36460964300,Hamby A.,Hamby,Anne,"Boise State University, Department of Marketing",103119899,572,513,15,42,,57,2010,2024
6602573828,9-s2.0-6602573828,Peracchio L.,Peracchio,Laura A.,"The University of Chicago, Graham School",114234442,3389,2816,30,64,,140,1990,2024
7102997220,9-s2.0-7102997220,Schwarz N.,Schwarz,Norbert,"University of Southern California, Mind and Society Center",115138585,40739,30537,83,318,,360,1980,2024
7004289172,9-s2.0-7004289172,Strack F.,Strack,Fritz,Julius-Maximilians-Universität Würzburg,60012689,17807,13435,60,138,,160,1977,2024
